job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
Chuyên Viên Phát Triển Phần Mềm 1C,Công Ty Cổ Phần Tập Đoàn TH,,Hà Nội,20000000.0,35000000.0,VND,2.0,"['Chuyên Viên Phát Triển Phần Mềm C', 'Business development officer', 'Nhân viên kỹ thuật IT phần mềm', 'Nhân viên kiểm thử phần mềm', 'Chuyên viên tư vấn triển khai phần mềm ERP', 'Nhân viên triển khai phần mềm', 'Nhân viên tư vấn triển khai phần mềm']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-20,"1. Tham gia phát triển và tùy chỉnh ứng dụng: Tham gia vào việc thiết kế, lập trình và cấu hình các module trên nền tảng 1C:Enterprise để đáp ứng các nhu cầu kinh doanh cụ thể.2. Bảo trì và tối ưu hóa hệ thống: Giám sát, gỡ lỗi, cập nhật và tối ưu hóa phần mềm 1C để đảm bảo hiệu suất cao, giảm thời gian ngừng hoạt động và hỗ trợ mở rộng kinh doanh. Nâng cấp hệ thống 1C lên phiên bản mới hoặc chuyển đổi dữ liệu giữa các phiên bản.3. Phân tích yêu cầu: Làm việc với các bộ phận kinh doanh để thu thập yêu cầu, phân tích quy trình và đề xuất các giải pháp kỹ thuật.4. Tích hợp hệ thống: Kết nối 1C với các phần mềm khác (CRM, trang web hoặc hệ thống ngân hàng) để tạo ra luồng dữ liệu liền mạch. Thiết lập và quản lý trao đổi dữ liệu (đồng bộ hóa) giữa 1C và các nền tảng khác.5. Hỗ trợ và đào tạo: Hỗ trợ người dùng cuối, đào tạo nhân viên về cách sử dụng hệ thống và soạn thảo tài liệu kỹ thuật.6. Kiểm thử: Tiến hành kiểm thử đơn vị và tham gia kiểm thử hệ thống để đảm bảo các tính năng mới hoạt động chính xác và không gây ra lỗi trong hệ thống hiện tại.7. Quản lý Dự án: Tham gia vào các dự án ERP, từ lập kế hoạch đến triển khai, thường làm việc theo nhóm với các lập trình viên khác.

[Yêu cầu]
- Tốt nghiệp Đại học trở lên chuyên ngành IT- Tiếng Anh/ tiếng Nga đọc hiểu tài liệu chuyên ngành tốt- Có ít nhất 2 năm kinh nghiệm về ngôn ngữ 1C, thành thạo cấu hình module, công cụ phát triển và quản trị hệ thống- Có hiểu biết về SQL, XML và các ngôn ngữ liên quan (ví dụ: C++/Javascript để tích hợp nâng cao)- Có hiểu biết về các quy trình kế toán, quản lý tài chính, quản lý kho hàng và ERP nói chung, quản lý dữ liệu lớn và bảo mật thông tin- Hiểu biết về các quy trình phát triển phần mềm và phương pháp Agile/Scrum- Có chứng chỉ 1C (Junior Developer)- Kỹ năng: Trình bày, thuyết trình; Quản lý thời gian; Giải quyết vấn đề; Làm việc nhóm.",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
Sale Kỹ thuật (Nghỉ T7 CN),Công ty Cổ phần Zodiac Clarity,,Hà Nội,15000000.0,20000000.0,VND,2.0,"['Bán hàng kỹ thuật', 'Nhân viên kinh doanh bán hàng kỹ thuật', 'Sales Engineer bán hàng kỹ thuật', 'Kỹ sư giải pháp phần mềm']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-14,"Tìm kiếm, phát triển và quản lý khách hàng khối Giáo dục, Chính phủXây dựng và duy trì quan hệ với khách hàngKhai thác cơ hội dự án, tư vấn giải pháp phù hợp với nhu cầu khách hàngĐàm phán, thương thảo hợp đồng và chốt dealTheo dõi, chăm sóc khách hàng sau bán hàng, phát triển thêm cơ hội mớiCập nhật dữ liệu khách hàng và báo cáo kinh doanh định kỳ

[Yêu cầu]
Tốt nghiệp Cao đẳng/Đại học các ngành liên quanCó tối thiểu 3 năm kinh nghiệm Sales B2B / Project SalesƯu tiên có kinh nghiệm trong lĩnh vực: AV, IT, System Integration, hoặc giải pháp doanh nghiệpCó kinh nghiệm làm việc với khách hàng doanh nghiệp lớn là lợi thếKỹ năng giao tiếp, đàm phán và xây dựng quan hệ tốtQuyền lợi ứng viên:Thưởng các ngày lễ, tết, thưởng cuối năm, thưởng hiệu quả kinh doanh, thưởng thâm niên…Chương trình chăm sóc sức khỏe định kỳ hàng năm cho nhân viên.Phụ cấp ăn trưa, gửi xe, xăng xe (tùy vị trí).Du lịch 1–2 lần/năm, cùng nhiều hoạt động team building gắn kết đồng nghiệp.Được tham gia các khóa đào tạo chuyên môn trong và ngoài nước.Lộ trình thăng tiến rõ ràng, nhiều cơ hội phát triển bản thân và nghề nghiệp.Môi trường năng động, chuyên nghiệp, đề cao sáng tạo & đổi mới.Văn hóa cởi mở, tôn trọng sự khác biệt và khuyến khích nhân viên đóng góp ý kiến.Thời gian làm việc: 08h00 – 17h30 (Thứ Hai đến Thứ Sáu)",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
IT Executive (Microsoft 365),Công ty Easia Travel,,Hà Nội,,,VND,1.0,"['IT Executive Microsoft', 'IT Specialist', 'Chuyên viên IT', 'Nhân viên IT', 'IT Engineer', 'IT Assistant']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-14,"1. Main tasksResearching and implementing applications within the Microsoft 365 ecosystemAct as a core member of the company’s Microsoft 365 transformation project, contributing to the planning, deployment, operation, and continuous improvement of digital workplace infrastructure and applications in alignment with project phases and business requirements.Manage and support Microsoft 365 services, including:Microsoft Teams, SharePoint, OneDrive, Microsoft VivaEntra ID, Intune, Microsoft Purview, and related servicesUser adoption, training and supportPlan and implement user adoption initiatives for Microsoft 365 toolsDevelop and deliver user training materials and E-learning contentConduct internal technical knowledge transfer and act as a technical support supervisor2. Other tasksSupport other IT and digital workplace initiatives as assigned by the System Manager or IT leadership.Coordinate with internal departments to ensure effective use of Microsoft 365 tools.Perform other related tasks as required to support business operations.

[Yêu cầu]
Requirements:At least one year of experience in the same positionBachelor’s or Master’s in Information Technology or other related fieldsInternationally recognized IT certifications are preferredFluent in English languageGood knowledge of the Microsoft 365 ecosystemGood analytical and problem-solving skillsGood communication skillsRelevant Microsoft certifications (AZ, MS, SC series) are preferred",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
Cloud Engineer,TDCX Malaysia (Teledirect Telecommerce Sdn Bhd),,Kuala Lumpur,60000000.0,80000000.0,VND,1.0,"['Digital Customer Engineer', 'Online', 'Social Media']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-12,"Are you passionate about the cloud ecosystem and helping partners succeed? We are expanding our POD Operating Model—a specialized team dedicated to accelerating digital transformation through strategic sales and technical excellence. We are currently hiring for a high-impact role: Digital Customer Engineer (DCE).The OpportunityTheDigital Customer Engineer (DCE)is the technical engine behind the win. You will be the primary technical resource for our partners, helping them navigate complex cloud evaluations and designing the technical roadmap for our customers' digital futures.Responsibilities●Design the Win:Support partners in establishing technical requirements and designing robust cloud solution environments.●Unblock Complexity:Address deep-seated technical objections and blockers, turning technical hurdles into cloud migration opportunities.●Future-State Planning:Analyze a customer's current infrastructure and inhibitors to design a seamless ""future-state"" cloud environment.●Workload Alignment:Ensure every cloud workload is optimized for the customer’s environment to achieve the technical win.

[Yêu cầu]
Requirement●Cloud Expert:At least 1year ofexperiencein technical pre-sales, cloud solutions engineering, or systems integration.●Expose to Cloud Platforms such as: Google, Azure, AWS, etc●Formally Trained:You hold aBachelor’s Degree(Computer Science, Engineering, or a related field).●Problem Solver:You have a proven track record of translating complex customer requirements into scalable, ideal-state cloud solutions.WhyJoinUs?You won't work in a vacuum; you'll be part of a structured team including BDRs and specialists, all focused on a singular goal:Increasing Win Rates and Driving Future Growth.●Scale:Work with vendor-supported resources and cutting-edge AI-powered prospecting tools.●Impact:See the direct results of your work as you secure cloud revenue and monitor post-sale success for long-term customer satisfaction.●Growth:Operate at the forefront of the cloud sales landscape with a clear path for professional development.Salary range: 60tr-80tr",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
Kỹ Sư Lập Trình PLC,CÔNG TY TNHH CRAZIGOODS,,Bắc Ninh,,,VND,5.0,"['Kỹ Sư Lập Trình PLC', 'lập trình viên', 'Software Engineer', 'Kỹ Sư Software', 'nhân viên lập trình', 'Chuyên viên lập trình']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-12,"Phối hợp với team IOT triển khai các hạng mục cơ khíThiết kế, cải tiến, lắp đặt và xử lý các vấn đề kỹ thuật phát sinhPhối hợp với các bộ phận liên quan để hoàn thiện hệ thống và thiết bịĐề xuất và cải tiến tự động hóa các quy trình sản xuất

[Yêu cầu]
Tốt nghiệp chuyên ngành Cơ khí hoặc các ngành liên quanCó tối thiểu 5 năm kinh nghiệmCó khả năng thiết kế, lắp ráp, cải tiến máy móc thiết bịƯu tiên ứng viên có kinh nghiệm về tự động hóa, máy móc sản xuất, hệ thống IoTQuyền lợi.Mức lương thoả thuận theo năng lựcTham gia vào các dự án tự động hóa lớn của nhà máy Crazigoods.Cơ hội phát triển thành Chuyên gia kỹ thuật cấp cao hoặc Trưởng nhóm Dự án IoT – Nhà máy thông minh.BHXH, BHYT, BHTN… đầy đủ theo luật lao độngLương tháng thứ 13 + 2 lần thưởng KPI, tuỳ theo tình hình kinh doanh (tối đa 15 tháng lương)Xét tăng lương 1 lần/nămĐược hỗ trợ cơm trưa, liên hoan hàng quýMôi trường trẻ, mọi ý tưởng đều được lắng nghe và ghi nhận.Được tham gia teambuilding thường xuyên, du lịch cùng toàn công ty 1 lần/năm.Thời gian, địa điểm làm việc:Thời gian: từ thứ 2 đến thứ 7 (thứ 7 nghỉ luân phiên) Ca ngày: 8h - 17h, nghỉ trưa 12h - 13hĐịa điểm: Lô CN3, KCN Gia Bình II, X. Nhân Thắng, tỉnh Bắc Ninh",Chế độ bảo hiểm; Du Lịch; Chế độ thưởng,careerviet
Chuyên Viên Quản Lý Hồ Sơ Thầu,AI Education,hợp đồng và mức độ đóng góp.,Hồ Chí Minh,,,VND,2.0,[],Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-11,"MỤC TIÊU CÔNG VIỆCVị trí này chịu trách nhiệm triển khai hồ sơ các dự án do Ban Lãnh đạo phát triển — từ chuẩn bị hồ sơ chào thầu, theo dõi quá trình triển khai, đến đóng gói hồ sơ nghiệm thu và quyết toán. Đây là vai trò quan trọng đảm bảo các dự án của được triển khai bài bản, tuân thủ cam kết hợp đồng và hoàn tất thủ tục pháp lý đúng quy định.Báo cáo trực tiếp cho: CEO.Địa điểm làm việc: 135 Đường số 5, Phường An Khánh, Thành phố Hồ Chí Minh, Việt NamTRÁCH NHIỆM CHÍNH1. Chuẩn bị hồ sơ chào thầu, hồ sơ dự ánTiếp nhận thông tin dự án từ Ban Lãnh đạo, đọc và phân tích Hồ sơ Mời thầu (HSMT) hoặc yêu cầu chào giá của đối tác.Lập checklist các tài liệu cần chuẩn bị và phối hợp với các phòng ban liên quan(kỹ thuật, đào tạo, tài chính, pháp lý)để thu thập đầy đủ.Soạn thảo và hoàn thiện các tài liệu trong hồ sơ chào thầu/dự thầu: đề xuất kỹ thuật, đề xuất tài chính, hồ sơ năng lực, các tài liệu chứng minh kinh nghiệm.Đảm bảo hồ sơ tuân thủ đầy đủ yêu cầu của bên mời thầu/đối tác và các quy định pháp luật liên quan.Nộp hồ sơ đúng hạn theo hình thức quy định(E-GP hoặc trực tiếp).2. Theo dõi triển khai dự ánPhối hợp với các phòng ban liên quan lập kế hoạch triển khai chi tiết: tiến độ, ngân sách, nhân sự, các mốc bàn giao.Theo dõi tiến độ thực hiện so với cam kết trong hợp đồng, chủ động cảnh báo sớm các rủi ro về tiến độ, chất lượng, chi phí.Là đầu mối làm việc với bên mời thầu/đối tác trong suốt quá trình triển khai: báo cáo định kỳ, xử lý các vấn đề phát sinh, làm rõ các yêu cầu thay đổi.Quản lý hồ sơ bảo lãnh thực hiện hợp đồng(nếu có).3. Đóng gói nghiệm thu và quyết toánTổng hợp các bằng chứng triển khai(proof of execution): biên bản, báo cáo, hình ảnh, danh sách học viên, đánh giá chất lượng, v.v.Soạn thảo hồ sơ nghiệm thu theo từng giai đoạn và nghiệm thu cuối kỳ, làm việc với bên mời thầu/đối tác để hoàn tất ký kết.Phối hợp với phòng kế toán/tài chính để hoàn tất hồ sơ thanh toán, quyết toán hợp đồng.Lưu trữ hồ sơ dự án hoàn chỉnh phục vụ kiểm toán nội bộ và làm tài liệu tham chiếu cho các dự án sau.4. Hệ thống hóa tài liệuXây dựng và duy trì thư viện hồ sơ năng lực, tài liệu chuẩn(template)phục vụ chuẩn bị hồ sơ chào thầu.Quản lý cơ sở dữ liệu các dự án đã triển khai và bài học kinh nghiệm.

[Yêu cầu]
1. Bắt buộcTối thiểu 2 năm kinh nghiệm làm hồ sơ thầu hoặc quản lý hồ sơ dự án, đặc biệt là các dự án khu vực công(nhà nước).Hiểu biết vềLuật Đấu thầu 22/2023/QH15và các nghị định, thông tư hướng dẫn thi hành.Quen thuộc với Hệ thống mạng đấu thầu quốc gia (E-GP): tải HSMT, nộp HSDT điện tử.Kinh nghiệm soạn thảo các tài liệu trong hồ sơ thầu: đề xuất kỹ thuật, đề xuất tài chính, hồ sơ năng lực.Kỹ năng đọc hiểu và phân tích văn bản pháp lý, hợp đồng tốt.Thành thạo Microsoft Office(Word, Excel)và Google Workspace.Tỉ mỉ, cẩn thận, có khả năng làm việc dưới áp lực thời gian.2. Ưu tiênCó kinh nghiệm trong các lĩnh vực: giáo dục, đào tạo, công nghệ thông tin, chuyển đổi số.Có chứng chỉ đào tạo về đấu thầu của Bộ Kế hoạch và Đầu tư.Có kinh nghiệm làm hồ sơ nghiệm thu, quyết toán dự án với các đơn vị sự nghiệp công lập.Tiếng Anh đọc hiểu tốt(đối với tài liệu từ đối tác công nghệ quốc tế).QUYỀN LỢIPhát triển chuyên môn: Cơ hội tham gia các dự án cấp tỉnh/thành phố với các đối tác công nghệ toàn cầu.Lương và thưởng dự án tương ứng với quy mô hợp đồng và mức độ đóng góp.Phúc lợi về chăm sóc sức khỏe, nghỉ phép năm, BHXH theo quy định của Pháp luật.",Chế độ bảo hiểm; Du Lịch; Chế độ thưởng,careerviet
Senior Data Engineer,Ngân Hàng TMCP Quốc Dân (NCB),,Hà Nội,,,VND,5.0,"['Database Developer', 'IT Engineer', 'Senior IT Engineer']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-19,"• Collaborate with Agile product teams (mobile, digital banking, corporate banking, and customer insight) to design, develop, test, implement, and support full-stack data solutions that directly impact millions of mobile banking users• Design and evolve our enterprise Data Platform with Data Vault 2.0 as the foundational modeling methodology while delivering high-quality, trusted data layers in Google Cloud• Build high-throughput, low-latency real-time and batch data pipelines to power behavioral analytics, next-best-action recommendations, and seamless customer experiences• Create scalable ingestion, transformation, quality enforcement, and serving layers that feed our Next-Gen Mobile Banking App and other Digital Banking platform products• Ensure enterprise-grade data quality, governance, lineage, security, and compliance  in a highly regulated environment• Optimize pipelines for performance, cost-efficiency, reliability, and scalability on Google Cloud Platform (GCP)• Mentor junior and mid-level data engineers, conduct design reviews, and leverage DataOps best practices (CI/CD, automated testing, observability)• Partner closely with mobile app teams, data scientists, and business stakeholders to translate digital banking requirements into production-grade data products

[Yêu cầu]
• Bachelor’s Degree in Computer Science, Engineering, or a related field• Solid experience (typically 5+ years equivalent) in data engineering using Python, SQL, Spark / PySpark/• Solid understanding of digital banking data domains (T24 data, mobile transactions, banking products, app events, customer behavioral, corporate banking flows)• Proven hands-on experience with Google Cloud Platform (GCP), particularly BigQuery as a core data warehouse/lakehouse solution• Strong background in building and operating big data pipelines, including real-time/near-real-time processing with Spark, Spark Streaming, or equivalent frameworks• Practical experience with real-time streaming technologies (Spark Streaming, Flink, Kafka Streams) and workflow orchestration (Airflow)• Proficiency in dbt for data transformations, Python/PySpark development, and modern data warehouse/lakehouse approaches• Expertise in scalable data modeling — Data Vault 2.0 strongly preferred (or demonstrated success delivering agile, auditable enterprise data models such as medallion or lakehouse patterns)• Familiarity with data governance, lineage practices, and compliance requirements in a regulated banking environment• Experience designing, developing, and optimizing RESTful APIs and/or GraphQL APIs (including schema design, performance tuning, versioning, security, rate limiting, and integration with mobile/web frontends or microservices)• Experience leveraging AI copilots and hands-on familiarity with AI agents (e.g., GitHub Copilot, Claude Code, OpenClaw, ...) to accelerate development, code review, and pipeline automation",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
Technology Risk Management Senior Expert,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),,Hà Nội,,,VND,10.0,"['Nhân Viên Phòng Kế Toán', 'Credit Accountant', 'Cán bộ tài chính kế toán', 'Accounting Executive', 'Accountant cum Office Admin', 'Accountant and Administrative Staff', 'Kế toán kho vận', 'Nhân viên kế toán nhà máy', 'Chuyên viên kế toán chuyên quản', 'Nhân viên kế toán vật tư']",Nhân viên chính thức,Nhân viên,2026-06-21,2026-07-06,"JOB PURPOSE1. Develop and maintain technology risk management framework, policies, procedures, guidelines- Develop principles and methodologies for technology risk management, establishing technology risk limit, key risk indicators ... according to international practices, legal regulations, and internal governance requirements- Standardize risk management activities including identifying, assessing, responding and monitoring technology and information security risks following industry best practice and international standards (NIST, ISO, COBIT ...)- Develop technology & information security threat/ vulnerability/ scenario/ control catalogs- Consult relevant units to develop BCP/DRP in bankwide level.2. Develop technology risk management capabilities and improve bankwide technology & information security risk awareness and culture3. Develop strategies, roadmap and action plans for TDRMKEY ACCOUNTABILITIESKey Accountabilities (1)Establish and maintain the technology risk management framework- Develop technology risk management framework, methodologies, regulations, policies, standards, procedures, guidelines.- Enhance risk taxonomies, governance policies and operating models collaborating with ORM based on investigation findings to enhance robustness of existing risk mechanism- Establish and allocate technology risk limits, key risk indicators (KORI) according to international practices, legal regulations, and internal governance requirements- Periodic review & update technology risk strategies/ roadmap/ action plans, technology risk management frameworkKey Accountabilities (2)Assess technology risks, consult to develop mitigation solutions and monitor- Review and approve technology risks in technology strategy, technology platforms, technology and business processes under the authority as prescribed- Consult to develop solutions and methods to effectively mitigate and manage technology risk based on technology risk management framework, ensuring comprehensive risk management implementation- Technical control assurance based on internal policies, government law and regulations, international security standards- Independent investigate cybersecurity/ technology risk events or digital platform risks; analyzing root causes, proposing solutions/actions to mitigate and manage risksKey Accountabilities (3)Develop technology risk management capabilities, improve bankwide technology risk  awareness and culture- Research on emering technologies appying in banking operations to provide subject matter advices in managing emerging risks- Build & implement technology risk management capabilities (i.e. competencies standard, training, upskilling, coaching and communication) to enhance bank’s capability in managing technology risks in bankwide level- Support other units to conduct training and communication to improve bank-wide technology risks awareness and culture

[Yêu cầu]
Qualifications and Work ExperienceExperience- At least 10 years of relevant work experience in IT field, including at least 4 years of IT risk management (1st or 2nd line of defence) experience- Have experience in developing IT risk governance & management framework, risk management policies, procedures and guidelines.- Have experience in IT infrastructure operation/ IT Architecture/ Cybersecurity operation/ DevSecOps/ Cloud Computing- Have experience in IT Audit, IT compliance & assurance- Have experience in developing IT risk management capabilities to enhance bank’s capability in managing technology risksExpertise- Extensive knowlegde IT & cybersecurity risk management framework (COBIT, ITIL, ISO, NIST ...), internal information security laws & regulations (Circular 09/2020-NHNN, Circular 50/2024-NHNN, Cybersecurity Law, Personal Data Protection Law ...), and international information security standards (SWIFT CSP, PCI DSS, CIS ...)- Deep knowledge in at least 2 of the following areas: IT infrastructure operation/ IT Architecture/ Cybersecurity operation/ DevSecOps/ Cloud computing- Good knowledge of emerging technologies such as GenAI, Blockchain, Quantium technology, etc.Qualifications- Having a university degree or higher on Information Technology, Information System, Computer Science, Electronics & Telecommunications, Information Security or equivalent...- English: TOEIC 600 or equivalent- Professional certifications in IT Risk, IT Security: CISA/CISSP/CRISC/CISM/COBIT/ITIL ...",Chế độ bảo hiểm; Du Lịch; Chế độ thưởng,careerviet
Nhân Viên Thầu,Công Ty Cổ phần Hệ thống Công Nghệ Hoàng Hải,,Hồ Chí Minh,,,VND,2.0,[],Nhân viên chính thức,Nhân viên,2026-06-19,2026-07-19,"- Cập nhật các văn bản pháp lý của pháp luật về đấu thầu dự án Công nghệ thông tin.- Thực hiện và hoàn thiện hồ sơ dự thầu.- Nộp hồ sơ dự thầu.- Theo dõi tiến độ, tiếp nhận, xử lý thông tin phát sinh trong quá trình đấu thầu.- Thực hiện việc bảo lãnh thực hiện hợp đồng ( sau khi trúng thầu và hợp đồng được ký kết).- Thực hiện việc lưu trữ tài liệu liên quan đến quá trình đấu thầu.- Đàm phán thương thảo điều khoản hợp đồng với các thầu, nhà cung cấp.- Soạn thảo và rà soát Hợp đồng.- Thực hiện các công việc liên quan đến công tác đấu thầu theo yêu cầu của Ban Giám đốc.

[Yêu cầu]
- Tốt nghiệp các trường Đại học chuyên ngành Thương mại, Kinh tế, Luật, CNTT....- Có kinh nghiệm ít nhất từ 2 đến 3 năm kinh nghiệm làm hồ sơ thầu trong lĩnh vực dự án ứng dụng CNTT.- Am hiểu, nắm vững các quy định của nhà nước về thầu, đấu thầu dự án ứng dụng CNTT trong nước và quốc tế.- Có trách nhiệm, bám sát việc triển khai và đảm bảo hoàn thành các công việc được giao.- Có kỹ năng trình bày & thuyết phục tốt.- Có khả năng lên kế hoạch, chiến lược & chiến thuật cho dự án.- Có kỹ năng quản trị dự án, hiểu biết về quy định, quy chế đấu thầu.QUYỀN LỢI ĐƯỢC HƯỞNG:- Môi trường làm việc chuyên nghiệp, năng động, sáng tạo, phát triển.- Lương thỏa thuận .- Tham gia đầy đủ các chế độ BHXH, BHYT… theo quy định của Nhà nước và của Công ty sau khi trở thành nhân viên chính thức.- Thưởng lễ, tết và nghỉ lễ theo quy định Nhà nước;- Thời gian làm việc: các ngày trong tuần từ thứ 2 đến thứ 6, làm việc từ 8h00 sáng đến 17h00 chiều. Thứ 7 làm việc buổi sáng từ 8h00 đến 11h00.",Chế độ bảo hiểm; Du Lịch; Chế độ thưởng,careerviet
Chuyên viên cao cấp/Chuyên gia Scrum Master - SI - MSB - 3I134,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),,Hà Nội,,,VND,5.0,[],Nhân viên chính thức,Nhân viên,2026-06-19,2026-07-19,"• Assist the Product Owner and Squad to do their work through process facilitation, stimulating creativity and empowerment• Encourage team productivity through teaching tools and best working practices• Set-up team cadence of daily stand-ups/check-out; and other meetings of the Scrum methodology with the appropriate frequency and goals• Remove impediments to the work of the development team• Implement Scrum framework, teach and train team members on their roles• Encourage the development team to challenge, without breaching the principles of Scrum or Agile

[Yêu cầu]
• Mastery in agile methodologies & scrum ceremonies• Minimum 5 years of relevant experience• Basic knowledge of other software developmentmethodologies• Bachelor's Degree in Computer Science, Computer Engineering or related fields. Master's Degree is a plus.• Professional Scrum Master certificationBENEFITS OF JOINING MSBAttractive Compensation and Rewards:• Competitive salary compared to the market and aligned with individual capability, to be negotiated after the candidate passes the interview round.• Attractive incentive/KPI bonus and commission schemes, paid monthly, with unlimited income potential for sales positions and certain specialized roles.• Year-end performance bonus equivalent to 2 to 5 months of average annual salary, depending on performance evaluation results.Comprehensive Welfare Policies:• Social insurance in accordance with legal regulations and private health insurance for MSB employees.• Diverse welfare benefits, including flexible working hours, company trips, birthday leave, leave for children’s first day of school, and more.• Preferential loan programs for employees.Training and Career Development:• In-depth and structured training programs following transformation-oriented pathways, including Re-skill, Up-skill, and New-skill, tailored to each job group.• Dedicated guidance and mentoring from leaders, direct managers, and industry experts.• Management development programs for high-potential employees, preparing them for future managerial and leadership positions.• Priority is given to internal candidates for management-level recruitment, creating career advancement opportunities for employees.Professional Working Environment and Dynamic Corporate Culture:• Comfortable and friendly workplace that values responsibility and mutual support.• Dynamic and creative environment that encourages innovation and continuous learning.• Respect for differences, with a strong focus on teamwork and effective collaboration.• A wide range of vibrant cultural, sports, and entertainment activities, fostering a connected and positive working environment.• Recognized for many consecutive years by HR Asia as one of the “Best Companies to Work for in Asia” and by Anphabe as a company with “Happy Human Resources.”",Laptop; Chế độ bảo hiểm; Du Lịch,careerviet
